No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Layout,Use Bootstrap Grid System,12-column responsive grid with container row col classes,Use container row col-* classes,Custom flexbox or float layouts,"<div class=""container""><div class=""row""><div class=""col-md-6"">Content</div></div></div>","<div style=""display: flex"">Custom layout</div>",High,https://getbootstrap.com/docs/5.3/layout/grid/
2,Layout,Use responsive containers,Responsive containers adapt to breakpoints,container container-fluid container-{breakpoint},Fixed width without responsiveness,<div class="container-lg">,<div style="width: 1200px">,Medium,https://getbootstrap.com/docs/5.3/layout/containers/
3,Layout,Use breakpoint classes,Responsive classes for different screen sizes,col-sm-* col-md-* col-lg-* col-xl-*,Same layout all screen sizes,<div class="col-md-6 col-lg-4">,<div class="col-12">,High,https://getbootstrap.com/docs/5.3/layout/breakpoints/
4,Layout,Use gap utilities,Use gap-* for grid/flex spacing,gap-2 gap-3 gap-4,Margin on individual items,<div class="row gap-3">,<div class="row"><div class="col mb-3">,Medium,https://getbootstrap.com/docs/5.3/utilities/spacing/
5,Components,Use Bootstrap buttons,Built-in button styles and variants,btn btn-primary btn-outline-*,Custom button classes,"<button class=""btn btn-primary"">Click</button>","<button class=""custom-btn"">Click</button>",Medium,https://getbootstrap.com/docs/5.3/components/buttons/
6,Components,Use button groups,Group related buttons together,btn-group btn-toolbar,Individual buttons with custom spacing,"<div class=""btn-group""><button class=""btn btn-primary"">1</button></div>",<button class="btn mr-2">1</button>,Low,https://getbootstrap.com/docs/5.3/components/button-group/
7,Components,Use cards for content,Card component for flexible content containers,card card-body card-header card-footer,Custom div containers,"<div class=""card""><div class=""card-body"">Content</div></div>","<div class=""content-box"">Content</div>",Medium,https://getbootstrap.com/docs/5.3/components/card/
8,Components,Use modals for dialogs,Bootstrap modal for overlays,modal modal-dialog data-bs-toggle,Custom overlay implementations,"<div class=""modal"" tabindex=""-1""><div class=""modal-dialog"">",<div class="custom-popup">,High,https://getbootstrap.com/docs/5.3/components/modal/
9,Components,Use navbar component,Built-in responsive navigation,navbar navbar-expand-* navbar-light,Custom header with media queries,"<nav class=""navbar navbar-expand-lg""><div class=""container-fluid"">","<div class=""header""><ul class=""nav"">",Medium,https://getbootstrap.com/docs/5.3/components/navbar/
10,Components,Use form controls,Bootstrap form classes for inputs,form-control form-select form-check,Unstyled form elements,"<input class=""form-control"" type=""text"">","<input type=""text"">",Medium,https://getbootstrap.com/docs/5.3/forms/form-control/
11,Components,Use input groups,Combine inputs with text/buttons,input-group input-group-text,Separate elements with custom positioning,"<div class=""input-group""><span class=""input-group-text"">@</span><input class=""form-control""></div>",<span>@</span><input>,Low,https://getbootstrap.com/docs/5.3/forms/input-group/
12,Components,Use alerts for messages,Contextual alert messages,alert alert-success alert-danger alert-warning,Custom message boxes,"<div class=""alert alert-success"">Success message</div>","<div class=""message success"">Success</div>",Medium,https://getbootstrap.com/docs/5.3/components/alerts/
13,Components,Use badges for counts,Small count/status indicators,badge bg-primary badge-pill,Span with custom styles,"<span class=""badge bg-primary"">5</span>","<span class=""count"">5</span>",Low,https://getbootstrap.com/docs/5.3/components/badge/
14,Components,Use breadcrumb navigation,Show page hierarchy,breadcrumb breadcrumb-item,Custom navigation links,"<nav><ol class=""breadcrumb""><li class=""breadcrumb-item""><a href=""/"">Home</a></li></ol></nav>",<div class="nav-path">Home > Page</div>,Low,https://getbootstrap.com/docs/5.3/components/breadcrumb/
15,Utilities,Use spacing utilities,Margin and padding utilities,m-* p-* mt-* mb-* mx-* my-*,Inline styles or custom CSS,<div class="mt-3 mb-4 px-2">,<div style="margin-top: 1rem">,High,https://getbootstrap.com/docs/5.3/utilities/spacing/
16,Utilities,Use display utilities,Control element display,d-none d-block d-flex d-grid d-{breakpoint}-*,CSS display properties,<div class="d-none d-md-block">,<div style="display: none">,Medium,https://getbootstrap.com/docs/5.3/utilities/display/
17,Utilities,Use flexbox utilities,Flex container and item utilities,d-flex justify-content-* align-items-* flex-*,Custom flexbox CSS,<div class="d-flex justify-content-between align-items-center">,<div style="display: flex; justify-content: space-between">,Medium,https://getbootstrap.com/docs/5.3/utilities/flex/
18,Utilities,Use text utilities,Text alignment color and transformation,text-start text-center text-end text-primary text-uppercase,Custom text CSS,<p class="text-center text-primary">,<p style="text-align: center; color: blue">,Low,https://getbootstrap.com/docs/5.3/utilities/text/
19,Utilities,Use background utilities,Background colors,bg-primary bg-secondary bg-light bg-dark bg-*,Inline background styles,<div class="bg-primary text-white p-3">,<div style="background: blue; color: white">,Low,https://getbootstrap.com/docs/5.3/utilities/background/
20,Utilities,Use border utilities,Border width color and radius,border border-* border-top rounded rounded-*,Custom border CSS,<div class="border border-primary rounded">,<div style="border: 1px solid blue; border-radius: 4px">,Low,https://getbootstrap.com/docs/5.3/utilities/borders/
21,Utilities,Use shadow utilities,Box shadow utilities,shadow shadow-sm shadow-lg,Custom box-shadow,<div class="card shadow-lg">,<div style="box-shadow: 0 0 10px rgba(0,0,0,0.3)">,Low,https://getbootstrap.com/docs/5.3/utilities/shadows/
22,Utilities,Use position utilities,Positioning utilities,position-relative position-absolute position-fixed top-* start-*,CSS positioning,<div class="position-relative"><span class="position-absolute top-0 start-0"></span></div>,<div style="position: relative"><span style="position: absolute; top: 0; left: 0"></span></div>,Medium,https://getbootstrap.com/docs/5.3/utilities/position/
23,Utilities,Use sizing utilities,Width and height utilities,w-25 w-50 w-75 w-100 h-*,Fixed sizes or inline styles,<div class="w-50 h-100">,<div style="width: 50%; height: 100%">,Low,https://getbootstrap.com/docs/5.3/utilities/sizing/
24,Customization,Override Sass variables,Customize Bootstrap with Sass variables,Override $primary $secondary $border-radius before import,Modify compiled CSS or !important,"$primary: #custom-color; @import ""bootstrap"";",CSS with !important overrides,High,https://getbootstrap.com/docs/5.3/customize/sass/
25,Customization,Use CSS custom properties,Bootstrap 5 uses CSS variables,Override --bs-* custom properties,Hardcode values,":root { --bs-primary: #custom; }",Hardcoded hex values in styles,Medium,https://getbootstrap.com/docs/5.3/customize/css-variables/
26,Customization,Create custom utilities,Extend utilities with Sass map,Add to $utilities map,Create separate CSS classes,"$utilities: (""custom"": (property: custom-prop, values: (1: 1rem)));",Separate CSS class definitions,Low,https://getbootstrap.com/docs/5.3/utilities/api/
27,Icons,Use Bootstrap Icons,Official icon library for Bootstrap,Bootstrap Icons CDN or npm package bi bi-*,Font Awesome or emoji as icons,"<i class=""bi bi-heart-fill""></i>",<span>❤️</span>,Medium,https://icons.getbootstrap.com/
28,Icons,Use icon sizing,Size icons with font-size,Utility classes or custom CSS for sizing,Fixed pixel sizes,<i class="bi bi-house fs-1"></i>,<i class="bi bi-house" style="width: 24px"></i>,Low,https://icons.getbootstrap.com/#usage
29,Accessibility,Use semantic HTML,Semantic elements for better accessibility,nav header main footer article,Divs for everything,"<nav class=""navbar""><main class=""container"">","<div class=""navbar""><div class=""main"">",High,https://getbootstrap.com/docs/5.3/getting-started/accessibility/
30,Accessibility,Include ARIA attributes,Add ARIA for interactive components,aria-label aria-labelledby aria-expanded role,Missing ARIA attributes,"<button aria-label=""Close"" class=""btn-close""></button>",<button class="btn-close"></button>,High,https://getbootstrap.com/docs/5.3/getting-started/accessibility/
31,Accessibility,Ensure color contrast,WCAG AA contrast ratio 4.5:1 minimum,Use contrast checking tools verify text/bg,Low contrast combinations,Check primary text on bg-light has sufficient contrast,Light grey text on white background,High,https://getbootstrap.com/docs/5.3/getting-started/accessibility/
32,Accessibility,Support keyboard navigation,Ensure all interactive elements keyboard accessible,Focus states visible tabindex,Elements not keyboard accessible,"<button class=""btn btn-primary"">Accessible</button>",<div onclick="action()">Not accessible</div>,High,https://getbootstrap.com/docs/5.3/getting-started/accessibility/
33,Performance,Use CDN or compiled CSS,Use CDN for quick start or compile for production,Bootstrap CDN or custom compiled version,Importing entire source unnecessarily,"<link href=""https://cdn.jsdelivr.net/npm/bootstrap@5.3/dist/css/bootstrap.min.css"">",Import all Sass files without tree-shaking,Medium,https://getbootstrap.com/docs/5.3/getting-started/download/
34,Performance,Remove unused CSS,Purge unused Bootstrap classes,Use PurgeCSS or similar tools,Ship entire Bootstrap CSS,PurgeCSS config for Bootstrap classes,All Bootstrap CSS included unused,Medium,https://getbootstrap.com/docs/5.3/customize/optimize/
35,JavaScript,Use Bootstrap JS for components,Required for interactive components,Import bootstrap.bundle.js or individual components,Recreate component JS from scratch,"import 'bootstrap/js/dist/modal'; new bootstrap.Modal(el);",Custom modal JavaScript,Medium,https://getbootstrap.com/docs/5.3/getting-started/javascript/
36,JavaScript,Initialize components properly,Use data attributes or JS initialization,data-bs-toggle or new bootstrap.Component(),jQuery or other libraries for Bootstrap components,"<button data-bs-toggle=""modal"" data-bs-target=""#myModal"">",Custom jQuery modal code,Medium,https://getbootstrap.com/docs/5.3/getting-started/javascript/
37,JavaScript,Handle events with Bootstrap API,Use Bootstrap event listeners,addEventListener for Bootstrap events,Polling or custom event handling,"modal.addEventListener('shown.bs.modal', handler);",setInterval to check modal state,Medium,https://getbootstrap.com/docs/5.3/getting-started/javascript/#events
38,Responsive,Mobile-first approach,Design for mobile then scale up,Start with mobile styles add breakpoints up,Desktop-first with max-width,<div class="col-12 col-md-6 col-lg-4">,<div class="col-lg-4 col-md-6 col-12">,High,https://getbootstrap.com/docs/5.3/layout/breakpoints/
39,Responsive,Use responsive utilities,Hide/show based on breakpoint,d-none d-md-block d-lg-none,CSS media queries for visibility,<div class="d-none d-lg-block">,<div class="desktop-only">,Medium,https://getbootstrap.com/docs/5.3/utilities/display/
40,Responsive,Test all breakpoints,Test xs sm md lg xl xxl breakpoints,Browser DevTools responsive mode,Only test desktop,Test at 576px 768px 992px 1200px 1400px,Only test at 1920px,High,https://getbootstrap.com/docs/5.3/layout/breakpoints/
